Project Code,Invoice Number,Invoice Date,QTY,UNIT PRICE,TOTAL,"Invoiced?
[Y / N]","Invoice 
Remarks","Reason for 
not Invoicing",Entity,Actual Entity,Consultant Name,SCHOOL,Zone,"Programme 
Name",UOM,"Projected 
Amount",January,February,March,March Hols,April,May,June Hols,July,August,September,Sep Hols,October,November,December,"Payment 
Reference",Payment Date,Paid Amount,"Outstanding
Amount","Service 
Consultant"
VART18004,,,,,$0.00,,,TAKEN OVER BY ISMAN,ARTELIER PTE LTD,ARTELIER PTE LTD,NORISMAN,Red Swastika Sch,EAST,Art Club CCA,PER HR,$0.00,,,,,,,,,,,,,,,monthly,,,$0.00,
VART18004,INVVART180301b,1-Mar,13.5,$108.00,"$1,458.00",,,,ARTELIER PTE LTD,ARTELIER PTE LTD,POOJA,Red Swastika Sch,EAST,Art Club CCA-Feb,PER HR,"$1,458.00",,"$1,458.00",,,,,,,,,,,,,5003350536,12.03.18,"$1,458.00",$0.00,
VART18005,INVVART1811019B,30th November 2018,1,"$5,100.00","$5,100.00",,,,ARTELIER PTE LTD,ARTELIER PTE LTD,POOJA,Chongzheng Pri,EAST,Art Club CCA,PER PAX,"$5,100.00",$728.57,$728.57,$728.57,,$728.57,$728.57,,$728.57,$728.58,,,,,,5003485115,13.12.18,"$5,100.00",$0.00,
VART18007,INVVART1805004,18th May,28,$150.00,"$4,200.00",Y,,,ARTELIER PTE LTD,ARTELIER PTE LTD,MARTIN LOCK,Guangyang Pr,NORTH,Batik,PER HR,"$4,200.00","$1,400.00","$1,400.00","$1,400.00",,,,,,,,,,,,5003395047,14.06.18,"$4,200.00",$0.00,
VART18008,INVVART1811007,2-Nov-18,42,$120.00,"$5,040.00",,,,ARTELIER PTE LTD,ARTELIER PTE LTD,HARJINDER SINGH,Gan Eng Seng Pr,SOUTH,P1 - PAPER MACHE & JUMPING CLAY,,"$5,040.00",,,,,,,,"$2,520.00","$2,520.00",,,,,,5003473609,27.11.18,"$5,040.00",$0.00,ISMAN
VART18009,INVVART1805003,18-May,49,$120.00,"$5,880.00",Yes,,,ARTELIER PTE LTD,ARTELIER PTE LTD,HARJINDER SINGH,Gan Eng Seng Pr,SOUTH,P2 - PAPER MACHE & JUMPING CLAY,,"$5,880.00",,"$1,250.00","$1,250.00",,"$1,250.00","$2,130.00",,,,,,,,,5003393776,12.06.18,"$5,880.00",$0.00,ISMAN
VART18010,INVVART180120001,20-Dec-18,36,$185.00,"$6,660.00",Yes,,,ARTELIER PTE LTD,ARTELIER PTE LTD,RAMESH,WOODGROVE PRI,NORTH,P4 SAIL ART CERAMICS,PER HR,"$6,660.00",,"$2,220.00","$2,220.00",,"$2,220.00",,,,,,,,,,5003490889,24.12.18,"$6,660.00",$0.00,
VART18011,INVVART180120002,20-Dec-18,63,$185.00,"$11,655.00",Yes,,,ARTELIER PTE LTD,ARTELIER PTE LTD,RAMESH,WOODGROVE PRI,NORTH,P5 SAIL ART CERAMICS,PER HR,"$11,655.00",,,,,,,,"$2,913.75","$2,913.75","$2,913.75",,"$2,913.75",,,5003490889,24.12.18,"$11,655.00",$0.00,
VART18012,INVVART1803002,20TH March 2018,1,$800.00,$800.00,,,,ARTELIER PTE LTD,ARTELIER PTE LTD,NORISMAN,Damai Pri,EAST,Metal Tooling,PACKAGE - PAX,$800.00,,,$800.00,,,,,,,,,,,,5003362259,28.03.18,$800.00,$0.00,
VART18013,Checking,,,,$0.00,,,,ARTELIER PTE LTD,ARTELIER PTE LTD,NORISMAN,Red Swastika School,EAST,ART CLUB CCA MONTHLY BILLING-March 2018,PER HR,$0.00,,,,,,,,,,,,,,,end of programme,,,$0.00,
VART18014,INVVART18080002,22-Aug-18,150,$38.00,"$5,700.00",Y,,,ARTELIER PTE LTD,ARTELIER PTE LTD,RAMESH,ZHONGHUA PRI,SOUTH,P3 3D MODELLING,PER PAX,"$5,700.00",,,,,"$1,900.00","$1,900.00",,"$1,900.00",,,,,,,5003439909,18.09.18,"$5,700.00",$0.00,
VART18015,INVVART180401c,18th April 2018,12,$108.00,"$1,296.00",,,,ARTELIER PTE LTD,ARTELIER PTE LTD,NORISMAN,Red Swastika Sch,EAST,ART CLUB CCA MONTHLY BILLING-March 2018,PER HR,"$1,296.00",,,"$1,296.00",,,,,,,,,,,,5003379944,16.05.18,"$1,296.00",$0.00,
VART18016,INVVART1805005,18th May 2018,1,"$1,500.00","$1,500.00",Y,,,ARTELIER PTE LTD,EPITOMEDIA PTE LTD,MARTIN LOCK,Hougang Secondary School,SOUTH,Claymation for 1NT,PACKAGE - HR,"$1,500.00",,,,,,"$1,500.00",,,,,,,,,5003393776,12.06.18,"$1,500.00",$0.00,
VART18017,INVVART180502,14th May 2018,1,$400.00,$400.00,Y,,,ARTELIER PTE LTD,ARTELIER PTE LTD,MARTIN LOCK,Admiralty Pr,NORTH,Clays for 20th anniversary,PACKAGE - HR,$400.00,$400.00,,,,,,,,,,,,,,5003392809,11.06.18,$400.00,$0.00,
VART18018,INVVART1806001B,16-Jan-19,1,$700.00,$700.00,,,,ARTELIER PTE LTD,ARTELIER PTE LTD,HARJINDER SINGH,NLB,NON MOE,Art & Nature Batik,PACKAGE - PAX,$700.00,,,,,,$700.00,,,,,,,,,2100082839,21.02.19,$700.00,$0.00,
VART18019,INVVART18110009,1-Nov-18,208,$50.00,"$10,400.00",,,,ARTELIER PTE LTD,ARTELIER PTE LTD,LINDEN LOKE,Innova Primary,NORTH,Metal Tooling NAC,PER PAX,"$10,400.00",,,,,,,,"$3,466.66","$3,466.66","$3,466.68",,,,,5003475753,29.11.18,"$10,400.00",$0.00,
